date,time,ozone,no,nitrogen dioxide,nox
7/1/2016,13:00,0.058,0,4,4
7/1/2016,14:00,0.054,0,5,5
7/1/2016,15:00,0.054,0,6,6
7/1/2016,16:00,0.058,0,4,4
7/1/2016,17:00,0.057,0,3,3
7/1/2016,18:00,0.052,0,3,3
7/1/2016,19:00,0.043,0,4,4
7/1/2016,20:00,0.036,0,5,4
7/1/2016,21:00,0.033,0,4,3
7/1/2016,22:00,0.031,0,3,3
7/1/2016,23:00,0.034,0,5,5
7/2/2016,0:00,0.037,0,4,4
7/2/2016,1:00,0.036,0,4,4
7/2/2016,2:00,0.033,0,8,8
7/2/2016,3:00,0.041,0,5,5
7/2/2016,4:00,0.043,0,4,4
7/2/2016,5:00,0.04,0,5,5
7/2/2016,6:00,0.038,0,6,6
7/2/2016,7:00,0.04,0,5,5
7/2/2016,8:00,0.044,0,4,5
7/2/2016,9:00,0.048,0,3,3
7/2/2016,10:00,0.05,0,2,2
7/2/2016,11:00,0.053,0,2,2
7/2/2016,12:00,0.052,0,2,2
7/2/2016,13:00,0.053,0,1,1
7/2/2016,14:00,0.053,0,1,1
7/2/2016,15:00,0.052,0,2,2
7/2/2016,16:00,0.051,0,1,1
7/2/2016,17:00,0.05,0,1,1
7/2/2016,18:00,0.048,0,2,2
7/2/2016,19:00,0.044,0,2,2
7/2/2016,20:00,0.048,0,2,1
7/2/2016,21:00,0.047,0,1,1
7/2/2016,22:00,0.04,0,3,2
7/2/2016,23:00,0.033,0,3,3
7/3/2016,0:00,0.028,0,3,2
7/3/2016,1:00,0.025,0,4,4
7/3/2016,2:00,0.027,0,3,2
7/3/2016,3:00,0.025,0,4,4
7/3/2016,4:00,0.034,0,3,2
7/3/2016,5:00,0.043,0,2,2
7/3/2016,6:00,0.039,0,5,5
7/3/2016,7:00,0.033,0,4,5
7/3/2016,8:00,0.028,0,3,3
7/3/2016,9:00,0.026,0,2,2
7/3/2016,10:00,0.027,0,1,2
7/3/2016,11:00,0.029,0,2,2
7/3/2016,12:00,0.034,0,2,1
7/3/2016,13:00,0.036,0,1,1
7/3/2016,14:00,0.038,0,2,2
7/3/2016,15:00,0.038,0,2,2
7/3/2016,16:00,0.039,0,2,2
7/3/2016,17:00,0.049,0,3,3
7/3/2016,18:00,0.042,0,2,2
7/3/2016,19:00,0.041,0,2,2
7/3/2016,19:00,0.041,0,2,2
7/3/2016,21:00,0.035,0,6,6
7/3/2016,22:00,0.03,0,9,9
7/3/2016,23:00,0.031,0,8,8
7/4/2016,0:00,0.027,0,9,9
7/4/2016,1:00,0.027,0,7,7
7/4/2016,2:00,0.021,0,6,7
7/4/2016,3:00,0.022,0,6,6
7/4/2016,4:00,0.018,0,7,7
7/4/2016,5:00,0.014,0,7,7
7/4/2016,6:00,0.017,1,7,9
7/4/2016,7:00,0.023,1,6,7
7/4/2016,8:00,0.033,1,5,7
7/4/2016,9:00,0.045,0,4,4
7/4/2016,10:00,0.042,0,3,3
7/4/2016,11:00,0.047,0,2,2
7/4/2016,12:00,0.048,0,2,2
7/4/2016,13:00,0.048,0,1,2
7/4/2016,14:00,0.051,0,1,1
7/4/2016,15:00,0.049,0,1,1
7/4/2016,16:00,0.05,0,1,1
7/4/2016,17:00,0.05,0,2,2
7/4/2016,18:00,0.049,0,2,2
7/4/2016,19:00,0.048,0,2,2
7/4/2016,20:00,0.041,0,5,5
7/4/2016,21:00,0.036,0,5,5
7/4/2016,22:00,0.029,0,6,6
7/4/2016,23:00,0.027,0,5,5
7/5/2016,0:00,0.026,0,6,5
7/5/2016,1:00,0.027,0,6,6
7/5/2016,2:00,0.028,0,4,4
7/5/2016,3:00,0.025,0,4,4
7/5/2016,4:00,0.022,0,4,4
7/5/2016,5:00,0.016,0,8,8
7/5/2016,6:00,0.02,1,7,8
7/5/2016,7:00,0.024,1,7,8
7/5/2016,8:00,0.029,1,6,7
7/5/2016,9:00,0.038,0,4,5
7/5/2016,10:00,0.041,0,4,4
7/5/2016,11:00,0.05,0,3,3
7/5/2016,12:00,.055,0,3,4
7/5/2016,13:00,0.055,0,3,4
7/5/2016,14:00,0.053,0,3,4
7/5/2016,15:00,0.052,0,3,4
7/5/2016,16:00,0.055,0,3,3
7/5/2016,17:00,0.053,0,2,3
7/5/2016,18:00,0.052,0,3,3
7/5/2016,19:00,0.05,0,3,3
7/5/2016,20:00,0.046,0,4,4
7/5/2016,21:00,0.049,0,4,4
7/5/2016,22:00,0.042,0,3,3
7/5/2016,23:00,0.038,0,3,3
7/6/2016,0:00,0.038,0,4,3
7/6/2016,1:00,0.032,0,4,4
7/6/2016,2:00,0.032,0,2,2
7/6/2016,3:00,0.029,0,3,2
7/6/2016,4:00,0.027,0,3,3
7/6/2016,5:00,0.025,0,4,4
7/6/2016,6:00,0.022,0,6,7
7/6/2016,7:00,0.02,1,8,9
